n_tasks,n_samples,x_dim,in_Flat,in_Concat,in_FiLM,in_Hypernetwork,in_Structured,ood_Flat,ood_Concat,ood_FiLM,ood_Hypernetwork,ood_Structured
100,2000,5,1.0067825317382812,1.0087559223175049,1.0039653778076172,1.0057562589645386,0.7274301648139954,1.0320721864700317,1.0335783958435059,1.028671145439148,1.0306565761566162,0.7495561838150024
100,2000,20,1.4949028491973877,1.493605375289917,1.4913067817687988,1.4930130243301392,1.113680362701416,1.5731018781661987,1.5714325904846191,1.5729522705078125,1.5754268169403076,1.1608338356018066
100,2000,50,2.346299171447754,2.3477776050567627,2.349726676940918,2.332644462585449,4.441248893737793,2.364567518234253,2.3644423484802246,2.366440773010254,2.349395751953125,4.431568145751953
100,2000,100,3.3067314624786377,3.399930477142334,3.270644426345825,3.3014142513275146,63.139469146728516,3.2720720767974854,3.3670248985290527,3.236402750015259,3.2620067596435547,61.39270782470703
500,100,5,1.1331069469451904,1.1068447828292847,1.2026818990707397,1.2316620349884033,0.8286418914794922,1.1489092111587524,1.132107138633728,1.2187448740005493,1.2490572929382324,0.8552783727645874
500,100,20,2.19954514503479,2.855546474456787,2.208555221557617,3.0797598361968994,1.568224310874939,2.215069532394409,2.8983824253082275,2.22353458404541,3.100923538208008,1.610982894897461
500,100,50,3.25948166847229,5.074794769287109,3.3171892166137695,5.595952033996582,3.615159749984741,3.3261451721191406,5.198379039764404,3.408165216445923,5.793583869934082,3.769707202911377
500,100,100,7.407128810882568,10.101062774658203,7.238462924957275,8.053696632385254,7.778504848480225,7.395002841949463,10.09745979309082,7.230341911315918,8.047698020935059,7.771833896636963
500,200,5,1.115346908569336,1.1613101959228516,1.168520450592041,1.1277738809585571,0.7964363694190979,1.126175045967102,1.1744428873062134,1.175935983657837,1.1404783725738525,0.8055428862571716
500,200,20,2.029212713241577,2.095885753631592,1.9480973482131958,2.0671582221984863,1.262365460395813,2.0715882778167725,2.154020309448242,2.0071794986724854,2.103140115737915,1.3437604904174805
500,200,50,3.0371475219726562,3.197852373123169,3.114143133163452,4.357200622558594,5.739700794219971,3.0444252490997314,3.2172954082489014,3.1151463985443115,4.358301639556885,5.769148349761963
500,200,100,5.260410308837891,6.7327189445495605,4.7346649169921875,7.3242974281311035,17.163171768188477,5.237492084503174,6.711433410644531,4.723080158233643,7.327725887298584,17.100767135620117
500,500,5,1.096652626991272,1.0199010372161865,1.010324239730835,1.0095118284225464,0.7456293106079102,1.1213396787643433,1.0506318807601929,1.0447556972503662,1.0435280799865723,0.7661623358726501
500,500,20,1.6004021167755127,1.6070678234100342,1.5721633434295654,1.5788822174072266,1.2578544616699219,1.6344869136810303,1.6430288553237915,1.6087169647216797,1.614923119544983,1.286946177482605
500,500,50,2.962399482727051,2.8355629444122314,2.7137975692749023,2.786480188369751,4.956477642059326,2.9494898319244385,2.8182432651519775,2.70015025138855,2.7770209312438965,4.925568580627441
500,500,100,3.885303258895874,3.9098057746887207,4.0288872718811035,4.078138828277588,403.2650451660156,3.894961357116699,3.9208695888519287,4.054725170135498,4.109434127807617,405.25299072265625
500,750,5,1.0035072565078735,0.9794156551361084,0.9981490969657898,0.9921729564666748,0.7333064079284668,1.0645239353179932,1.0420581102371216,1.065982460975647,1.0561891794204712,0.7839789390563965
500,750,20,1.5872790813446045,1.6064655780792236,1.567813515663147,1.5860795974731445,1.2038390636444092,1.6190139055252075,1.640434741973877,1.6023476123809814,1.6183334589004517,1.2395964860916138
500,750,50,2.5965304374694824,2.516685724258423,2.4406797885894775,2.516496419906616,4.713174343109131,2.586165189743042,2.515852212905884,2.4395973682403564,2.5124311447143555,4.699070453643799
500,750,100,3.6441562175750732,3.940264940261841,3.7853214740753174,3.749223232269287,312.5559997558594,3.6417176723480225,3.9229159355163574,3.7800116539001465,3.7432010173797607,313.6435546875
500,1000,5,1.03927743434906,1.0331541299819946,1.024058222770691,1.0337189435958862,0.740943193435669,1.050659418106079,1.0456633567810059,1.0370725393295288,1.0463857650756836,0.7750108242034912
500,1000,20,1.56367027759552,1.5491254329681396,1.5465251207351685,1.5613750219345093,1.1950278282165527,1.5984729528427124,1.5838180780410767,1.5835028886795044,1.5970402956008911,1.2293615341186523
500,1000,50,2.4206557273864746,2.4147918224334717,2.3713974952697754,2.3870482444763184,5.641857624053955,2.466600179672241,2.463371992111206,2.421631336212158,2.43672776222229,5.749631404876709
500,1000,100,3.4103333950042725,3.5164847373962402,3.3281455039978027,3.3735086917877197,211.53733825683594,3.49774432182312,3.620666980743408,3.441056966781616,3.4803080558776855,218.4225311279297
500,2000,5,0.9876325726509094,0.9870487451553345,0.9847843647003174,0.9858042001724243,0.7178059220314026,1.0308178663253784,1.0304710865020752,1.0281996726989746,1.028936743736267,0.7484487295150757
500,2000,20,1.485607624053955,1.492617130279541,1.5079162120819092,1.4955750703811646,1.0924251079559326,1.5669879913330078,1.5756875276565552,1.5923227071762085,1.5788058042526245,1.154989242553711
500,2000,50,2.3475594520568848,2.359663486480713,2.3332536220550537,2.333611488342285,4.89851188659668,2.3610079288482666,2.373445987701416,2.347492218017578,2.3476099967956543,4.920182228088379
500,2000,100,3.2794413566589355,3.2491660118103027,3.256387233734131,3.264777898788452,68.1236572265625,3.281466245651245,3.2506673336029053,3.2583248615264893,3.266543388366699,68.0353012084961
